source,hypothesis,reference
• Fact Sheet Saint Kitts and Nevis ITCan,• Fiche d'information Saint-Kitts-et-Nevis CICan,• Saint-Kitts-et-Nevis - Fiche documentaire CICan
Staff turnover.,Tour de service.,Promotions internes Employés syndiqués4 Employés non syndiqués4 3.
S # S # S #,S # S # S # S #,S #
14.1.11 Add 4 mL of syringe-filtered DNPH smoke extract to the volumetric flask.,14.1.11 Ajouter 4 mL d'extrait de fumée de DNPH filtré au filtre à syringes.,"14.1.11 Ajouter 4 mL de la solution d'extrait DNPH/fumée filtrée à la seringue, à la fiole jaugée."
◦ 4.8 Air and Water Quality,◦ 4.8 Qualité de l'air et de l'eau,◦ 4.8 Qualité de l’air et de l’eau
$0.00 US Germany UK Denmark Finland Norway Sweden Canada,"0,00 $ US Allemagne Royaume-Uni Danemark Finlande Norvège Suède Canada",États-Unis Allemagne R.-U. Danemark Finlande Norvège Suède Canada
▪ Informal education was either one-on-one (30%) or self-directed (26%).,▪ L'éducation informelle a été soit individuelle (30 %) soit autogérée (26 %).,▪ L'éducation informelle consistait de séances individuelles (30 %) ou auto-dirigées (26 %).
They can be of great help in dealing with specific tasks.,Ces derniers peuvent être d'une grande aide pour s'acquitter de tâches spécifiques.,La formation de réseaux avec d’autres organismes amène généralement de nombreux avantages.
The second directive applies the principle of the port State.,La deuxième directive met en oeuvre le principe de l’État portuaire.,La deuxième directive applique le principe du port d'accostage.
• Establishment and maintenance of agreements with international music sub-publishers.,• Établir et maintenir des accords avec des sous-éditeurs de musique internationaux.,• Établissement et maintien d’ententes avec des sous-éditeurs de musique internationaux.
"In no order of priority, these core values include:","En aucun ordre de priorité, ces valeurs fondamentales comprennent :","Sans ordre d'importance, ces valeurs sont les suivantes :"
"This overactivity is constantly reducing biodiversity, and its effects are proving to be tragic.","Cette suractivité réduit constamment la biodiversité, et ses effets sont tragiques.",Cette suractivité réduit sans cesse la biodiversité et ses effets s’avèrent dramatiques.
• Environmental Remediation,• La remise en état de l'environnement,• Des mesures d’assainissement de l’environnement
The second form is an initial circular crack on the branch without decay.,La deuxième forme est une fissure initiale sur le rameau sans dégradation.,"La seconde forme débute par une fente sur la branche, sans qu'une carie se développe."
3.2 Are people protected by intellectual property rights?,3.2 Les personnes sont-elles protégées par des droits de propriété intellectuelle?,Les personnes ne sont pas protégées par des droits de propriété intellectuelle.
Cross-Country Skiers and Snowshoers are frequent travelers.,Les skieurs de fond et les snowshoers sont de fréquents voyageurs.,Les skieurs de fond et les raquetteurs voyagent souvent.
"So, that concludes that section on risk assessment.",Ceci conclut la section sur l’évaluation des risques.,Est-ce que les activités de vos clients génèrent des sommes importantes?
Report on Al Mashat's Immigration to Canada (SECRET) * (91/92-02) 31.,Rapport sur l'immigration de Al Mashat au Canada (SECRET) * (91/92-02) 31.,Rapport sur l’immigration d’Al Mashat au Canada (SECRET)* (91/92-02) 31.
• P-118R Assessments on a Tax-Extra or Tax-Included Basis,• P-118R Cotisations sur base taxable ou taxée,• P-118R Établissement d'une cotisation sur la base de la taxe comprise ou de la taxe non comprise
A detailed summary of the CANVAC research results is found in Appendix 4.,Un résumé détaillé des résultats des recherches de CANVAC se trouve à l'annexe 4.,L’annexe 4 contient un sommaire détaillé des résultats de recherche du réseau CANVAC.
Acute toxicity studies in non-rodent species were not conducted.,Des études d'intoxication aiguë chez des espèces non rongeuses n'ont pas été effectuées.,Aucune étude de toxicité aigüe n’a été effectuée chez des non-rongeurs.
Problems of technology transfer,Problèmes du transfert de technologie,Problèmes de transfert de technologie
"Int.Cl.7 (7th edition, 1999) Subclass _981787241 (PDF)","Int.Cl.7 (7e édition, 1999) Sous-classe _981787241 (PDF)","Int.Cl.7 (7e édition, 1999) Sous-classe _982565448 (PDF)"
In Greece this concerns the transfer of sole proprietorship enterprises to relatives.,"En Grèce, il s’agit de la transmission des entreprises de propriété unique à des membres de la famille.","En Grèce, cela concerne la cession d’entreprises unipersonnelles à un parent."
"Key words: adaptive, forecast, Kalman's filter, lake levels, MISP algorithm, Great Lakes.","Mots clés : adaptif, prévision, filtre de Kalman, niveaux des lacs, MISP, Grands Lacs.","Mots clés : adaptatif, prévision, filtre de Kalman, niveaux des lacs, algorithme PEMI, grands lacs."
Hours per month for employment procedures Hours per month for employment procedures 12,Heures par mois pour les procédures d’emploi Heures par mois pour les procédures d’emploi 12,Heures par mois consacrées aux procédures d’emploi Hours per month for employment procedures 12
Dr. Ron wants you – if you have the right stuff.,"Dr Ron vous demande, si vous avez le bon profil.",C’est vous que le Dr Ron recherche – à condition que vous ayez ce qu’il faut.
Feedback from users indicated that Form 15 was somewhat confusing.,Les utilisateurs ont indiqué que le formulaire 15 était quelque peu confondu.,"Selon les commentaires reçus de nos clients, l'ancien formulaire 15 était trop compliqué."
"• 2007-A-114 — Cancellation - Atlantic Aero, Inc.","• 2007-A-114 — Annulation - Atlantic Aero, Inc.","• 2007-A-114 — Annulation - Atlantic Aero, Inc."
I propose to put the answer into a summary table.,Je propose de résumer les réponses dans une table.,PROJET EASTMAIN-1-A DÉRIVATION RUPERT
David Perkins Milbank Tweed Hadley & McCloy LLP London English,David Perkins Milbank Tweed Hadley & McCloy LLP Londres Anglais,Madeleine De Cock Buning De Brauw Blackstone Westbroek Amsterdam Anglais Néerlandais
March 12 The Council signs an agreement on future relations between Greenland and the Community.,12 mars Le Conseil signe un accord sur les relations futures entre le Groenland et la Communauté.,Mars 12 Le Conseil signe un accord sur les relations futures entre le Groenland et la Communauté.
Program evaluation assesses the effectiveness of a service delivery program.,L'évaluation d'un programme d'exécution d'un service évalue son efficacité.,L'évaluation du programme vise l'efficacité du programme de prestation de services.
• 5.3.2 Environmental Impact Assessment Process,• 5.3.2 Processus d'évaluation environnementale,◦ 5.3.2 Processus d'évaluation des incidences environnementales
"2001-001 (January 02, 2001) - includes Backgrounder",2001-001 (2 janvier 2001) - document d'information,2001-001 (le 2 janvier 2001) - comprend un Document d'information
IS EXTREME WEATHER BECOMING MORE COMMON? 3.,LA VIOLENCE DU TEMPS EST-ELLE DEVANT LE COURANT? 3.,LES CONDITIONS MÉTÉOROLOGIQUES EXTRÊMES DEVIENNENT-ELLES PLUS COURANTES? 3.
Performance reporting year is given in Column 3.,L'année de rapport du rendement se trouve à la colonne 3.,L'année visée par la performance est inscrite dans la colonne 3.
Click here to get more information…,Cliquez ici pour obtenir plus d’information…,Cliquez ici pour obtenir plus d’information…
Establish the evaluation mechanisms to determine if results are being achieved.,Instaurer les mécanismes d'évaluation pour déterminer si les résultats sont obtenus.,Établir des mécanismes d’évaluation permettant de déterminer si les résultats sont atteints.
Globally Harmonised Classification System for Chemicals,Système de classification harmonisé mondial des produits chimiques,Financement du développement
• Reporting Services,• Services de rapport,• Services d'établissement de rapports
The operations employ local people and provide international exposure for the region.,Les opérations emploient des personnes locales et offrent une exposure internationale à la région.,Ils emploient des gens du milieu et procurent une visibilité internationale à la région.
It can also require redeployment of the Department’s resources from other activities.,Il peut aussi exiger le redéploiement des ressources du Ministère pour d’autres activités.,Il peut également exiger le redéploiement de ressources affectées à d’autres activités.
"If so, how and on the basis of what rules?","Si oui, comment et selon quels critères?","Dans l'affirmative, selon quelles modalités ?"
"If a marked individual is observed, it will b...","Si on observe un individu marqué, il se met à...",Les participants parcourront le secteur et noteront les papillons obse...
1998/11/12 - Bell Canada DESCRIPTION:,1998/11/12 - Bell Canada DESCRIPTION :,The company's request to withdraw Tariff Notice 6255 is accepted.
This can be a tough stage.,Ce peut être une étape difficile.,Cette étape peut s'avérer difficile.
Other?,Autre?,•
The province of Ontario announced changes to some personal amounts for 2001.,La province de l'Ontario a annoncé des changements aux montants personnels pour 2001.,La province de l’Ontario a annoncé des changements à certains montants personnels pour 2001.
Harvest of Fish Species by Anglers in Quebec.,Rapport d’impact environnemental de la pêche au Canada.,"Capture par espèce, au Québec."
• Results for respondents from Ireland (IE),• Résultats pour les répondants de l'Irlande (IE),• Résultats des répondants de l'Irlande (IE)
Failure to do so may result in your application being screened out without further consideration.,"Si vous n'y parvenez pas, votre demande sera éliminée sans être examinée plus avant.","Autrement, leur candidature sera rejetée sans autre considération."
"Select ""Print as Image"", and then click ""OK"".",Cliquez sur « Imprimer comme image » et sur « OK ».,"Sélectionnez « Bitmap », et ensuite cliquez sur « OK »."
"11 . 466353 Ontario Ltd. v. Ontario (Municipal Board), [2005] O.J. No. 979 (Ont.","11 . 466353 Ontario Ltd. c. Ontario (Conseil municipal), [2005] O.J. No. 979 (Ont.","75, conf. par la C.A. T.-N., 6 juin 1988; cité avec approbation dans Succession MacDonald à la p."
EICB IMPORT CONTROL SCHEDULE CODE EICB 52.10,ANNEXE A,"32.1 A armure sergé, 3 ou 4 fils, y compris le croisé :"
"Neguib, General Mohamed, former President of Egypt (June 1953-Dec.","Neguib, général Mohamed, ancien président de l’Égypte (juin 1953-déc.","Neguib, général Mohamed, ancien président de l'Égypte (juin 1953-déc."
17 November 30 November 25 1 14 December 6 December 7 December,17 novembre 30 novembre 25 1 14 décembre 6 décembre 7 décembre,17 novembre 30 novembre 25 1 14 décembre 6 décembre 7 décembre
There are also variants of orthodoxy and of radicalism.,Il existe également des variantes de l'orthodoxie et du radicalisme.,Ces deux courants comportent aussi des variantes.
Code 55 gives the representation of the design in amended form.,Le code 55 indique la représentation de l’ornementation en forme modifiée.,"Au code 55, la représentation du dessin ou modèle sous sa forme modifiée est reproduite."
University of British Columbia Administrative Unit:,University of British Columbia Entité administrative:,PPB / DGPP Responsable:
• Our Mailing Address and Telephone Numbers,• Nos adresses postales et nos numéros de téléphone,• Notre adresse postale et nos numéros de téléphone
Make sure you consult knowledgeable advisers to measure the pros and cons.,Assurez-vous de consulter des conseillers compétents pour évaluer les avantages et les inconvénients.,Assurez-vous de consulter des conseillers bien informés afin d’en peser le pour et le contre.
Cabinet for approval.,Approbation du Cabinet.,Nunavut.
List of referenced Drug Master Files (DMFs) and DMF Numbers:,Liste des dossiers de master de médicaments (DMF) et des numéros de DMF :,Liste des fiches maîtresses de produits citées en référence et numéros de ces fiches maîtresses :
"2006-246 2006-06-13 Chimnissing Communications, Christian Island, Ontario.","2006-246 2006-06-13 Chimnissing Communications, Christian Island (Ontario).","2006-246 2006-06-13 Chimnissing Communications, Christian Island (Ontario)."
We cannot afford to lose each time we move.,Nous ne pouvons pas nous permettre de perdre chaque fois que nous nous déplaçons.,On ne peut se permettre d'essuyer une perte chaque fois que l'on déménage.
"Lowenthal, D.H., D. Wittorf, A.W. Gertler and S. Sakiyama.","Lowenthal, D.H., D. Wittorf, A.W. Gertler et S. Sakiyama.","Lowenthal, D.H., D. Wittorf, A.W. Gertler et S. Sakiyama."
Files arranged by subject and construction zone. Program Record Number:,Dossier par sujet et zone de construction. Numéro du dossier :,APN BDD 020 Conception et élaboration des plans techniques Description :
Flight Comment is published quarterly and is 32 pages in length.,Flight Comment est publié tous les trois mois et a une longueur de 32 pages.,Propos de vol est publié à tous les trimestres et il compte 32 pages.
This exercise will further qualify the soldiers who would be part of the NSE Escort Troop.,Cet exercice permettra d'évaluer les soldats qui seront affectés à l'escort de l'ESN.,« De quoi alimenter les conversations électroniques et téléphoniques.
The information contained in Canada's previous reports is not repeated here.,L'information contenue dans les rapports précédents du Canada n'est pas réitérée ici.,Les renseignements figurant dans les rapports antérieurs du Canada ne sont pas repris ici.
I’m very knowledgeable about developmental issues.,Je connais très bien les questions liées au développement.,J’ai beaucoup de connaissances dans le domaine du perfectionnement.
G= Gross salaries: basis for internal taxation (Reg.,G= Gross salaries: basis for internal taxation (Art.,G= Traitements bruts : base de l’imposition interne (art.
• 1352 fewer cases of premature mortality;,• 1 352 moins de décès prématurés;,• de 1 352 le nombre de cas de mortalité prématurée;
"Are the mechanisms, legal and political that now frame the relationships, adequate?",Les mécanismes juridiques et politiques qui encadrent actuellement les relations sont-ils adéquats?,Les mécanismes juridiques et politiques qui sont à la base des rapports sont-ils adéquats?
The Final Agreement will prevail to the extent of any Conflict with a Federal or Provincial Law.,L’accord définitif prévaudra dans le cas d’un conflit avec une loi fédérale ou provinciale.,L’accord définitif l’emportera dans la mesure de tout conflit avec une loi fédérale ou provinciale.
•  Proactive Disclosure Proactive Disclosure Plastics Related Sites,•  Divulgation proactive Divulgation proactive Sites liés aux plastiques,•  Divulgation proactive Divulgation proactive Plastiques Sites connexes
• Table 3 Estimated exposure of the general population to HCBD,• Tableau 3 Exposition prévue de la population générale à la DHCB,• Tableau 3 Estimation de l'exposition de la population à l'hexachlorobutadiène
The communication should indicate that the author does not wish to appear at the public hearing.,La communication doit indiquer que l'auteur ne veut pas faire appel à l'audience publique.,Les intéressés doivent indiquer qu'ils n'entendent pas participer à l'audience publique.
"Explanatory memorandum by Mr McNamara, Rapporteur A. Introduction 1.","Exposé des motifs par M. McNamara, rapporteur A. Introduction 1.","Exposé des motifs par M. McNamara, rapporteur A. Introduction 1."
"Mr T, a German national, lodged a complaint against the European Commission.","M. T, ressortissant allemand, a déposé une plainte contre la Commission européenne.","M. T., de nationalité allemande, a fait parvenir une plainte visant la Commission européenne."
I think the majority of Canadian families feel economically insecure today.,Je pense que la plupart des familles canadiennes sont économiquement insecure aujourd'hui.,Je pense que la majorité des familles canadiennes d'aujourd'hui souffrent d'insécurité financière.
